id,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,cand_9,cand_10,cand_11,cand_12,cand_13,cand_14,cand_15,cand_16,total_suf,blanco,nulo,juntaId
28352,86,4,5,1,0,65,6,0,32,1,0,69,2,2,1,1,318,6,37,37632
28362,83,3,3,10,0,49,6,2,42,0,1,75,2,2,0,3,313,6,26,37633
28372,45,5,4,1,2,52,8,0,33,0,1,73,1,0,0,3,253,4,21,37634
28381,29,0,2,0,0,25,4,1,9,0,0,22,0,1,0,4,106,3,6,37635
28390,75,3,7,4,0,85,13,0,35,0,0,50,3,2,0,4,315,1,33,37636
28399,73,5,2,10,0,77,9,1,37,0,1,65,4,3,0,1,326,9,29,37637
28409,82,2,3,3,1,63,3,2,36,0,1,43,4,5,0,4,288,3,33,37638
28419,34,3,3,3,0,38,4,1,31,0,1,22,1,1,0,1,159,4,12,37639
28428,68,8,4,6,2,40,1,1,110,1,1,24,0,5,1,6,340,8,54,37640
28438,66,11,9,11,0,34,3,4,91,0,5,43,1,5,0,4,334,9,41,37641
28448,91,8,4,6,1,54,10,2,47,0,1,30,4,2,1,5,313,3,44,37642
28458,71,6,0,8,0,55,10,2,66,0,0,37,1,1,3,3,315,6,46,37643
28467,72,4,3,2,0,48,9,3,58,0,1,35,5,2,0,5,309,16,46,37644
28478,107,8,1,5,0,43,4,3,50,0,2,40,1,3,0,5,309,6,31,37645
28488,84,2,5,3,0,52,6,3,68,2,0,28,3,6,1,4,314,12,35,37646
28496,83,3,2,3,0,64,8,3,51,0,3,36,5,3,0,6,315,11,34,37647
28506,91,6,2,3,2,52,12,0,61,0,1,36,3,6,0,7,322,7,35,37648
28516,78,4,1,6,0,61,2,2,59,0,0,33,1,2,1,4,298,14,30,37649
28525,91,5,0,3,2,73,7,1,46,1,0,19,2,6,0,6,317,10,45,37650
28535,72,8,0,6,0,44,4,2,65,1,2,35,1,1,0,5,274,4,23,37651
28543,65,7,0,4,0,46,4,1,38,0,1,24,5,3,1,8,238,5,27,37652
28553,71,8,2,2,0,54,2,0,51,1,2,43,5,1,1,6,299,11,39,37653
28564,65,9,2,2,1,46,5,2,68,1,1,49,2,2,0,4,290,5,26,37654
28572,67,11,1,4,0,44,6,1,62,1,2,52,4,1,3,4,301,9,29,37655
28583,67,2,2,10,0,62,2,3,66,2,1,47,1,1,0,5,301,10,20,37656
28592,76,6,2,3,0,48,5,2,65,4,5,35,0,1,0,4,286,15,15,37657
