"parroquiaId","codigo","nombre","no_pobres","pobres","total"
"604","110655","EL INGENIO",215,1594,1809
"603","110656","EL AIRO",25,972,997
"608","110750","GONZANAMA",1067,1437,2504
"607","110751","CHANGAIMINA (LA LIBERTAD",395,2353,2748
"609","110753","NAMBACOLA",201,4314,4515
"610","110754","PURUNUMA (EGUIGUREN)",27,729,756
"611","110756","SACAPALCA",132,2033,2165
"634","110850","MACARA",6543,8738,15281
"632","110851","LARAMA",17,1063,1080
"629","110852","LA VICTORIA",88,1469,1557
"635","110853","SABIANGO (LA CAPILLA)",199,439,638
"640","110950","CATACOCHA",3494,8591,12085
"638","110951","CANGONAMA",26,1245,1271
"641","110952","GUACHANAMA",50,2551,2601
"642","110954","LAURO GUERRERO",68,1757,1825
"644","110956","ORIANGA",24,1739,1763
"645","110957","SAN ANTONIO",38,1052,1090
"639","110958","CASANGA",148,1635,1783
"646","110959","YAMANA",150,1091,1241
"651","111050","ALAMOR",2708,5487,8195
"652","111051","CIANO",180,1246,1426
"653","111052","EL ARENAL",114,867,981
"654","111053","EL LIMO (MARIANA DE JESUS)",196,2161,2357
"655","111054","MERCADILLO",206,968,1174
"656","111055","VICENTINO",105,1160,1265
"667","111150","SARAGURO",2403,6593,8996
"660","111151","EL PARAISO DE CELEN",103,2649,2752
"661","111152","EL TABLON",27,885,912
"662","111153","LLUZHAPA",77,1628,1705
"663","111154","MANU",293,2367,2660
"664","111155","SAN ANTONIO DE QUMBE",30,1114,1144
"665","111156","SAN PABLO DE TENTA",137,3526,3663
"666","111157","SAN SEBASTIAN DE YULUC",108,864,972
"668","111158","SELVA ALEGRE",107,1806,1913
"670","111159","URDANETA (PAQUISHAPA)",379,3383,3762
"669","111160","SUMAYPAMBA",301,1283,1584
"672","111250","SOZORANGA",527,3228,3755
"671","111251","NUEVA FATIMA",58,843,901
"673","111252","TACAMOROS",126,2675,2801
"680","111350","ZAPOTILLO",1064,3117,4181
"675","111351","CAZADEROS",47,1121,1168
"676","111352","GARZAREAL",31,1743,1774
"677","111353","LIMONES",59,1347,1406
"679","111354","PALETILLAS",99,2524,2623
"674","111355","BOLASPAMBA",12,1074,1086
"650","111450","PINDAL",1081,4568,5649
"648","111451","CHAQUINAL",3,1084,1087
"647","111452","12 DE DICIEMBRE",113,1776,1889
"658","111550","QUILANGA",474,2231,2705
"657","111551","FUNDOCHAMBA",76,277,353
"659","111552","SAN ANTONIO DE LAS ARADAS",119,1140,1259
"637","111650","OLMEDO",480,3714,4194
"636","111651","LA TINGUE",12,656,668
"685","120152","CARACOL",252,4846,5098
"689","120153","FEBRES CORDERO (LAS JUNTAS)",1898,16016,17914
"691","120154","PIMOCHA",1234,19764,20998
"690","120155","LA UNION",974,11714,12688
"681","120250","BABA",1857,16946,18803
"682","120251","GUARE",262,11177,11439
"683","120252","ISLA DE BEJUCAL",699,8684,9383
"696","120350","MONTALVO",5440,18508,23948
"698","120450","PUEBLOVIEJO",2887,10409,13296
"699","120451","PUERTO PECHICHE",122,4545,4667
"700","120452","SAN JUAN",2952,15450,18402
"705","120550","QUEVEDO",48277,108953,157230
"707","120553","SAN CARLOS",1282,8734,10016
"703","120555","LA ESPERANZA",599,4238,4837
"713","120650","CATARAMA",1745,6814,8559
"714","120651","RICAURTE",2010,18623,20633
"719","120750","VENTANAS",9589,35832,45421
"720","120752","ZAPOTAL",855,20044,20899
"722","120850","VINCES",11280,43831,55111
"721","120851","ANTONIO SOTOMAYOR",634,15657,16291
"697","120950","PALENQUE",1778,20484,22262
